ID,Marke,Modelis,Metai,Pavaru_deze,Variklis,Rida,Kaina,Savininko_aprasymas
1,BMW,530,2018,Automatine,3.0 l Dyzelinas,185000,26500,"Automobilis puikios techninės ir vizualinės būklės. Prieš 5000 km pakeisti visi filtrai ir variklio alyva. Pavarų dėžė veikia sklandžiai. Salonas nenutrintas, prižiūrėtas. Važiuoklė be jokių pašalinių garsų. Pridedamas žieminių padangų komplektas su R18 ratlankiais. Yra pilna serviso istorija oficialiame atstove. Parduodu, nes reikia didesnio šeimyninio automobilio."
2,Volkswagen,Passat,2019,Automatine,2.0 l Dyzelinas,210000,18900,"Patikimas ir ekonomiškas automobilis. Lietuvoje eksploatuojamas dvejus metus, parvežtas iš Vokietijos. Variklis dirba tyliai ir tolygiai, dūmingumo nėra. Pakeistas pagrindinis diržas su vandens pompa prieš 20000 km. Sumontuota gera signalizacija. Kėbulas turi keletą smulkių, vos pastebimų įbrėžimų, kurie netrukdo eksploatacijai. Daugiau informacijos telefonu."
3,Toyota,RAV4,2021,Automatine,2.5 l Hibridas,65000,31000,"Ideali būklė, beveik kaip naujas automobilis. Parduodamas pirmo savininko. Visą laiką aptarnautas tik autorizuotame Toyota servise, galioja gamyklinė garantija. Hibridinė sistema veikia nepriekaištingai, labai ekonomiškas mieste. Aukščiausia komplektacija: odinis salonas, 360 laipsnių kameros, adaptyvus autopilotas. Jokių eismo įvykių nebuvo. Nereikalauja jokių papildomų investicijų."
4,Audi,A6,2016,Automatine,3.0 l Dyzelinas,240000,19500,"S-Line komplektacija. Automobilis labai mylėtas ir prižiūrėtas. Prieš mėnesį atliktas pilnas techninis aptarnavimas. Pakeisti stabdžių diskai ir kaladėlės. Orinė pakaba dirba be priekaištų, nepabėga. Matrix LED žibintai. BOSE garso sistema. Variklis ir pavarų dėžė veikia tobulai, tepalai keisti kas 10-12 tūkst. kilometrų. Galima tikrinti jūsų pasirinktame servise."
5,Skoda,Octavia,2020,Mechanine,1.5 l Benzinas,115000,16200,"Tvarkingas ir labai erdvus automobilis. Pirktas naujas Lietuvoje, vienas savininkas. Benzininis variklis labai gyvas ir pakankamai taupus. Mechaninė pavarų dėžė jungiasi lengvai. Salone niekada nebuvo rūkyta. Kėbulas nupoliruotas ir padengtas keramine danga. Pilna priežiūros istorija. Pridedu originalius stogo skersinius bagažinei."
6,Volvo,XC60,2017,Automatine,2.0 l Dyzelinas,198000,22400,"AWD visų varančiųjų ratų sistema. Saugus ir patikimas šeimos automobilis. Inscription komplektacija. Tamsiai rudas odinis salonas labai geros būklės. Pakeisti visi diržai, įskaitant ir generatoriaus. Naujas akumuliatorius. Automobilis nereikalauja jokių investicijų, sėdi ir važiuoji. Techninė apžiūra galioja dar metus. Pardavimo priežastis - persikėlimas gyventi į užsienį."
7,Honda,Civic,2018,Mechanine,1.0 l Benzinas,95000,13800,"Puikus miesto automobilis. Labai manevringas ir taupus. Nors variklis nedidelio tūrio, traukos pakanka tiek mieste, tiek užmiestyje. Priežiūra atlikta laiku. Paskutinio aptarnavimo metu pakeistos žvakės, stabdžių skystis, aušinimo skystis. Yra galinio vaizdo kamera, Apple CarPlay ir Android Auto. Kėbulas be rūdžių, neturi jokių paslėptų defektų."
8,Mercedes-Benz,E220,2017,Automatine,2.0 l Dyzelinas,225000,24900,"AMG apdaila išorėje ir viduje. Labai komfortiškas ir elegantiškas automobilis. Pilnai skaitmeninis prietaisų skydelis, ambientinis salono apšvietimas. Visi mazgai veikia nepriekaištingai, jokių klaidų skydelyje nėra. Automatinė dėžė bėgius perjunginėja nejuntamai. Rida originali, galima patikrinti pagal VIN kodą. Ką tik praeita techninė apžiūra iš pirmo karto."
9,Ford,Focus,2019,Automatine,1.5 l Benzinas,140000,14500,"ST-Line komplektacija. Automobilis atrodo labai sportiškai. Patikimas benzininis variklis. Salonas sportinis, labai patogios sėdynės. Yra šildomas priekinis stiklas, šildomas vairas - labai patogu žiemą. Automobilis prižiūrėtas oficialiame Ford centre. Vasarinės padangos pirktos praėjusį sezoną, todėl protektoriaus likutis didelis. Yra smulkus įbrėžimas ant galinio buferio."
10,Kia,Sportage,2022,Automatine,1.6 l Benzinas,35000,27800,"Beveik naujas automobilis. Parduodamas dėl pasikeitusių finansinių aplinkybių. Galioja gamyklinė Kia 7 metų garantija. Labai gausi komplektacija, panoraminis stogas, Harman Kardon audio sistema, aklosios zonos asistentai. Automobilis dengtas apsaugine PPF plėvele ant priekinės dalies. Neturi absoliučiai jokių trūkumų. Parduodamas su dviem rakteliais."
